Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
98,CVSR,,Anurag University,C098,,University,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://anurag.edu.in/,,,,,,
,,,Arya College of Engineering & IT,C427,,,,,,8,Rajasthan,110,Jaipur,,,,aryacollege.in,,,,,,
102,ASOK,,Ashoka Institute of Engineering & Technology,C102,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,537,Ranga Reddy,,,,http://ashoka.ac.in/,,,,,,
42,ASIT,,Audisankara Institute of Technology,C042,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,audisankara,,,https://www.audisankara.ac.in/,,,,,,
39,SANK,,Audisankara College of Engineering & Technology,C039,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,302,Goalpara,,,,,,,,,,
103,ASCW,,Audisankara College of Engineering for Women,C103,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,,,,,,,,,,
104,AURP,,Aurora Technological & Research Institute,C104,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,537,Ranga Reddy,,,,https://www.aurora.edu.in/,,,,,,
,,,Aurora University ,C336,,University,,,,36,Telangana,0,,,,,https://www.atri.edu.in/,,,,,,
108,AURB,,Auroras Engineering College,C108,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://www.aurora.ac.in/,,,,,,
109,AURG,,Auroras Scientific and Technological Institute,C109,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://www.asti.edu.in/,,,,,,
106,AURC,,Auroras Scientific Technological & Research Academy,C106,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,537,Ranga Reddy,,,,https://www.astra.edu.in/,,,,,,
107,AURK,,Auroras Technological & Management Academy,C107,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,537,Ranga Reddy,,,,https://www.aurora.in/atma/,,,,,,
,,,Avanthi Degree and Pg college,C443,,Affiliated,,,,36,Telengana,537,Ranga Reddy,,,,http://avanthicollege.ac.in/,,,,,,
