Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
,,,IIIT Sonepat,C316,,,,,,6,Haryana,76,Sonipat,,,,https://iiitsonepat.ac.in/,,,,,,
,,,IIT Indore,C404,,,,,,23,Madhya Pradesh,439,Indore,,,,https://www.iiti.ac.in/,,,,,,
,,,IIT Tirupati ,C339,,,,,,28,Andhra Pradesh,554,Chittoor,,,,https://www.iittp.ac.in/,,,,,,
,,,Indhira Gandhi National Open University ,C299,,University,,,,7,NCR of Delhi,0,,,,,https://www.ignou.ac.in/,,,,,,
,,,Indian Institute of Information Technology Design and Manufacturing Kurnool,C340,,,,,,28,Andhra Pradesh,552,Kurnool,,,,https://iiitk.ac.in/,,,,,,
,,,"Indian Institute of Information Technology Design and Manufacturing, Kancheepuram",C431,,University,,,,33,Tamil Nadu,604,Kancheepuram,,,,https://www.iiitdm.ac.in/,,,,,,
,,,Indian Institute of Science Education and Research Bhopal,C446,,,,,,23,Madhya Pradesh,444,Bhopal,,,,iiserb.ac.in,,,,,,
,,,Indian Institute of Technology Hyderabad,C383,,,,,,36,Telengana,0,,,,,,,,,,,
,,,Indraprastha Institute of Information Technology Delhi (IIIT-Delhi),C318,,,,,,7,NCR of Delhi,0,,,,,https://www.iiitd.ac.in/,,,,,,
59,IITT,,Indur Institute of Engineering & Technology,C059,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,535,Medak,,,,http://www.induriet.edu.in/,,,,,,
173,IARE,,Institute of Aeronautical Engineering,C173,,,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://www.iare.ac.in/,,,,,,
,,,International Institute of Information Technology Naya Raipur,C354,,,,,,22,Chhattisgarh,410,,,,,,,,,,,
,,,Jai Shriram Engineering College ,C410,,,,,,33,Tamil Nadu,614,Tiruppur,,,,"https://jayshriram.edu.in/about-us/#:~:text=world%20through%20eternity.-,Dr.,for%20more%20than%2023%20years.",,,,,,
,,,Jawaharlal Nehru government polytechnic ,C355,,,,,,36,Telengana,536,,,,,,,,,,,
,,,Jawaharlal Nehru Technological University Anantapur ,C377,,,,,,28,Andhra Pradesh,553,Anantapur,,,,,,,,,,
,,,Jawaharlal Nehru Technological University College of Engineering Kakinada ,C423,,University,,,,28,Andhra Pradesh,545,East Godavari,,,,https://www.jntuk.edu.in/,,,,,,
,,,Jawaharlal Nehru Technological University Hyderabad,C432,,University,,,,36,Telengana,536,Ranga Reddy,,,,https://jntuh.ac.in/,,,,,,
,,,"Jawaharlal Nehru university, New Delhi",C300,,University,,,,7,NCR of Delhi,0,,,,,https://www.jnu.ac.in/main/,,,,,,
136,JAYA,,Jayamukhi Institute of Technological Sciences,C136,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,540,Warangal,,,,https://jayamukhi.ac.in/,,,,,,
289,IPNE,,Jayaprakash Narayan College of Engineering,C289,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,538,Mahbubnagar,,,,https://jpnce.ac.in/new/index.php,,,,,,
137,JBIT,,JB Institute of Engineering & Technology,C137,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,https://www.jbiet.edu.in/,,,,,,
,,,JKLU University Jaipur ,C319,,University,,,,8,Rajasthan,110,Jaipur,,,,https://jklu.edu.in/,,,,,,
,,,"JNTUH University College of Engineering Jagtial
",C384,,,,,,36,Telengana,0,,,,,,,,,,,
,,,Joginapally Bhaskar Rao Institute of Engineering and Technology,C320,,Autonomous,,,,36,Telengana,537,Bhandara,,,,https://jbrec.edu.in/,,,,,,
138,JOGI,,Joginpally Br Engineering College,C138,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,https://jbrec.edu.in/,,,,,,
,,,JSS Academy Of Technical Education Bangalore ,C393,,,,,,29,Karnataka,572,Bangalore,,,,jssateb.ac.in,,,,,,
139,JMTK,,Jyothishmathi Institute of Technological Sciences,C139,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,534,Karimnagar,,,,,,,,,,
140,JMTS,,Jyothishmathi Institute of Technology and Science,C140,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,534,Karimnagar,,,,https://jits.ac.in/,,,,,,
,,,Jyothismathi Institute of Technology and Science,C472,,Autonomous,,,,36,Telangana,534,Karimnagar,,,,https://jits.ac.in/,,,,,,
,,,K.C.College of Engineering and Management Studies and Research,C453,,,,,,27,Maharashtra,517,Thane,,,,kccemsr.edu.in,,,,,,
,,,K.Ramakrishnan College of Engineering,C409,,Affiliated,,,,33,Tamil Nadu,614,Tiruchirappalli,,,,https://www.krce.ac.in/,,,,,,
79,KITSW,,Kakatiya Institute of Technology & Science,C079,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,540,Warangal,,,,https://www.kitsw.ac.in/,,,,,,
268,KITW,,Kakatiya Institute of Technology & Science for Women,C268,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,533,Nizamabad,,,,https://kitw.ac.in/,,,,,,
12,KIET,,Kakinada Institute of Engineering and Technology,C012,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,546,West Godavari,,,,https://www.kietgroup.com/,,,,,,
14,KIEW,,Kakinada Institute of Engineering and Technology for Women,C014,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://www.kietgroup.com/kietw/index.html,,,,,,
13,KIEK,,Kakinada Institute of Engineering and Technology-II,C013,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://www.kietgroup.com/KIET2/index.html,,,,,,
143,KISR,,Kakinada Institute of Technology and Science,C143,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,http://www.kitsdivili.ac.in/,,,,,,
,,,Kalasalingam University ,C321,,University,,,,33,Tamil Nadu,625,Virudhunagar,,,,https://www.kalasalingam.ac.in/,,,,,,
,,,Kalinga University ,C387,,,,,,22,Chhattisgarh,0,,,,,,,,,,,
233,KHIT,,Kallam Harinadh Reddy Institute of Technology,C233,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,https://khitguntur.ac.in/,,,,,,
271,KTKM,,Kamala Institute of Technology & Science,C271,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,534,Karimnagar,,,,https://www.kitssingapuram.ac.in/,,,,,,
141,KMIT,,Keshav Memorial Institute of Technology,C141,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://www.kmit.in/,,,,,,
258,KGRH,,KG Reddy College of Engineering & Technology,C258,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,https://kgr.ac.in/,,,,,,
273,KMTS,,Khammam Institute of Technology & Sciences,C273,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,541,Khammam,,,,,,,,,,
,,,KIET Group of Institutions,C506,,,,,,9,Uttar Pradesh,140,Ghaziabad,,,,https://www.kiet.edu/overview,,,,,,
46,KITS,,KKR & KSR Institute of Technology & Sciences,C046,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,https://www.kitsguntur.ac.in/,,,,,,
,,,KL Business School,C441,,Deemed University,,,,28,Andhra Pradesh,548,Guntur,,,,https://www.kluniversity.in/mba/,,,,,,
,,,KL College of Pharmacy,C440,,Deemed University,,,,28,Andhra Pradesh,548,Guntur,,,,https://www.kluniversity.in/pharmacy/,,,,,,
,,,KL Hyderabad,C449,,Deemed University,,,,36,Telangana,537,Rangareddy,,,,kluniversity.in,,,,,,
,,,KL University,C294,,University,,,,28,Andhra Pradesh,548,Guntur,,,,https://www.kluniversity.in/,,,,,,
,,,KLE Society's S. Nijalingappa College,C433,,Affiliated,,,,29,Karnataka,572,Bangalore,,,,https://klesnc.edu.in/,,,,,,
286,KDDW,,Kodada Institute of Technology & Science For Women,C286,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,539,Nalgonda,,,,http://kitskodad.in/,,,,,,
247,KPRT,,Kommuri Pratap Reddy Institute of Technology,C247,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://www.kpritech.ac.in/,,,,,,
83,KCPT,,Koringa College of Pharmacy,C083,,Affiliated,PHARMACY_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://koringacollegeofpharmacy.co.in/wp/,,,,,,
,,,Krishna University,C292,,University,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,https://kru.ac.in/,,,,,,
,,,Krupanidhi Group of Institutions,C477,,Affiliated,,,,29,Karnataka,572,Bangalore,,,,https://krupanidhi.edu.in/,,,,,,
277,KCEA,,Kshatriya College of Engineering,C277,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,533,Nizamabad,,,,https://www.kcea.in/,,,,,,
29,KSRM,,"KSRM College Of Engineering
",C029,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,551,Kadapa,,,,https://www.ksrmce.ac.in/,,,,,,
238,KUPM,,Kuppam Engineering College,C238,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,554,Chittoor,,,,https://kec.ac.in/,,,,,,
68,L4G,,L4G,C068,,,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,,,,,,,
30,LBCE,,Lakkireddy Balireddy College of Engineering,C030,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,https://lbrce.ac.in/,,,,,,
212,LIET,,Lendi Institute of Engineering and Technology,C212,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://lendi.org/,,,,,,
,,,Lenora College of Engineering,C322,,,,,,28,Andhra Pradesh,545,East Godavari,,,,,,,,,,
228,LIMT,,Lingayas Institute of Management and Technology,C228,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
,,,"Lok Nayak Jai Prakash Institute of Technology, Chhapra ",C385,,,,,,10,Bihar,0,,,,,,,,,,,
92,VGWL,,Lovely Professional University ,C092,,,ENGINEERING_COLLEGE,,,3,Punjab,0,,,,,,,,,,,
,,,Loyola Academy Degree and PG College,C434,,Autonomous,,,,36,Telangana,537917,Medchal,,,,,,,,,,
,,,Loyola Institute of Technology and Management ,C373,,,,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
,,,M. Kumarasamy College of Engineering,C499,,Autonomous,,,,33,Tamil Nadu,613,Karur,,,,https://www.mkce.ac.in/,,,,,,
229,MVRS,,M.V.R College of Engineering & Technology,C229,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
41,MITS,,Madanapalle Institute of Technology & Science,C041,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,554,Chittoor,,,,,,,,,,
75,MHRJ,,Maharajha's College of Pharmacy,C075,,,PHARMACY_COLLEGE,,,28,Andhra Pradesh,543,Vizianagaram,,,,,,,,,,
117,MGIT,,Mahatma Gandhi Institute of Technology,C117,,,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,,,,,,,
259,MHVR,,Mahaveer Institute of Science & Technology,C259,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
,,,"MAHE , MANIPAL INSTITUTE OF TECHNOLOGY BENGALURU",C394,,Private University,,,,29,Karnataka,572,Bangalore,,,,manipal.edu/mit,,,,,,
,,,Mahindra University ,C382,,,,,,36,Telengana,0,,,,,,,,,,,
32,MLEW,,Malineni Lakshmaiah Womens Engineering College,C032,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
40,MPES,,Malineni Perumallu Educational Society's Group of Institutions,C040,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
167,MRCE,,Malla Reddy College of Engineering,C167,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
,,,Malla Reddy College of Engineering and Technology,C466,,Autonomous,,,,36,Telengana,537,Rangareddy,,,,https://mrcet.com/,,,,,,
,,,Malla Reddy College of Engineering for Women,C467,,Affiliated,,,,36,Telengana,537,Rangareddy,,,,http://www.mrcew.ac.in/,,,,,,
169,MREM,,Malla Reddy Engineering College & Management Sciences,C169,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
72,MRCW,,Malla Reddy Engineering College for Women,C072,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
87,MREW,,Malla Reddy Group,C087,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
144,MRET,,Malla Reddy Institute of Engineering & Technology,C144,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
145,MLTM,,Malla Reddy Institute of Technology,C145,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
146,MRIT,,Malla Reddy Institute of Technology & Science,C146,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
168,MREC,,Malla Reddy University / Previously Malla Reddy Engineering College,C168,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
,,,Mallareddy College Of Engineering,C380,,,,,,36,Telengana,0,,,,,,,,,,,
170,MLRD,,Mallareddy College of Engineering & Technology,C170,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
,,,Mallareddy University ,C341,,,,,,36,Telengana,537,Bhandara,,,,,,,,,,
,,,Mangalore Institute of Technology and Engineering,C435,,,,,,29,Karnataka,575,Dakshina Kannada,,,,mite.ac.in,,,,,,
,,,Manipal University Jaipur,C490,,University,,,,8,Rajasthan,110,Jaipur,,,,https://jaipur.manipal.edu/,,,,,,
174,MLRS,,Marri Laxman Reddy Institute of Technology & Management,C174,,,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,,,,,,,
94,MECS,,Matrusri Engineering College,C094,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
,,,"Maulana Azad National Institute of Technology, Bhopal ",C342,,,,,,23,Madhya Pradesh,444,,,,,,,,,,,
280,MEDK,,Medak College of Engineering & Technology,C280,,,ENGINEERING_COLLEGE,,,36,Telengana,535908,,,,,,,,,,,
,,,Meenakshi Chandrasekaran College of Arts & Science,C455,,,,,,33,Tamil Nadu,620,Thanjavur,,,,.,,,,,,
,,,Megha Institute of Engineering & Technology for Women,C469,,Autonomous,,,,36,Telangana,537917,Medchal,,,,https://meghaengg.ac.in/,,,,,,
65,MCET,,Methodist College of Engineering and Technology,C065,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
147,MLID,,MLR Institute of Technology,C147,,,ENGINEERING_COLLEGE,,,36,Telengana,0,,medchal_malka,,,,,,,,,
176,MNRT,,MNR College of Engineering and Technology,C176,,,ENGINEERING_COLLEGE,,,36,Telengana,535,Medak,,,,,,,,,,
,,,Mohan Babu University,C343,,,,,,28,Andhra Pradesh,554,Chittoor,,,,,,,,,,
163,MOTK,,Mother Teresa Institute of Science & Technology,C163,,,ENGINEERING_COLLEGE,,,36,Telengana,541,Khammam,,,,,,,,,,
284,MTEC,,Mother Theressa College of Engineering & Technology,C284,,,ENGINEERING_COLLEGE,,,36,Telengana,534919,,,,,,,,,,,
,,,Motilal Nehru National Institute of Technology,C503,,,,,,9,Uttar Pradesh,175,Allahabad,,,,https://www.mnnit.ac.in/,,,,,,
,,,MRM College of Pharmacy ,C293,,,Pharmacy,,,36,Telengana,537,,,,,,,,,,,
,,,MSR Degree College,C375,,,,,,28,Andhra Pradesh,550,Nellore,,,,,,,,,,
263,MJCT,,Muffakham Jah College of Engineering & Technology,C263,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
38,MVRG,,MVGR College of Engineering,C038,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,543,Vizianagaram,,,,,,,,,,
160,MVSR,,MVSR Engineering College,C160,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
,,,N M A M I T NITTE KARKALA,C296,,,,,,29,Karnataka,569,,,,,,,,,,,
232,NLND,,Nalanda Institute of Engineering & Technology,C232,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
177,NNRG,,Nalla Narasimha Reddy Education Societys Group of Institutions,C177,,,ENGINEERING_COLLEGE,,,36,Telengana,0,,medchal-malk,,,,,,,,,
178,NREC,,Nallamalla Reddy Engineering College,C178,,,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,,,,,,,
47,NITN,,Narasaraopeta Institute of Technology,C047,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
181,NRNG,,Narayana Engineering College  Gudur,C181,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,,,,,,,,,,
180,NARN,,Narayana Engineering College Nellore,C180,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,,,,,,,,,,
22,NSPE,,Narsaraopet Engineering College,C022,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,palnadu,,,,,,,,,
179,NRCM,,Narsimha Reddy Engineering College,C179,,,ENGINEERING_COLLEGE,,,36,Telengana,537917,,,,,,,,,,,
,,,"National Institute of Technology , Durgapur",C417,,University,,,,19,West Bengal,335,Barddhaman,,,,https://nitdgp.ac.in/,,,,,,
,,,National Institute of Technology Andhra Pradesh ,C356,,,,,,28,Andhra Pradesh,546,West Godavari,,,,,,,,,,
,,,National Institute Of Technology Goa,C325,,,,,,30,Goa,586,,,,,,,,,,,
,,,National Institute of Technology Karnataka,C324,,,,,,29,Karnataka,575,,,,,,,,,,,
,,,"National Institute of Technology, Calicut",C344,,,,,,32,Kerala,591,,,,,,,,,,,
264,NAWB,,Nawab Shah Alam Khan College of Engineering & Technology,C264,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
235,NBKR,,NBKR Institute of Science & Technology,C235,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,,,,,,,,,,
142,NGIT,,Neil Gogte Institute of Technology,C142,,,ENGINEERING_COLLEGE,,,36,Telengana,537917,,,,,,,,,,,
,,,"Netaji Subhas University of Technology, Delhi",C326,,,,,,7,NCR of Delhi,0,,delhi have no districts,,,,,,,,,
,,,Newton's Institute of Engineering ,C442,,Affiliated,,,,28,Andhra Pradesh,548,Guntur,,,,https://newtonsnie.co.in/subpage.php?submenu_id=45,,,,,,
285,NGMA,,Nigama Engineering College,C285,,,ENGINEERING_COLLEGE,,,36,Telengana,534,,,,,,,,,,,
,,,NIT Arunachal Pradesh,C424,,Private University,,,,12,Arunachal Pradesh,248,Papum Pare,,,,https://www.nitap.ac.in/,,,,,,
,,,NIT Srinagar,C323,,,,,,1,Jammu & Kashmir,10,,,,,,,,,,,
,,,NIT Warangal ,C357,,,,,,36,Telengana,0,,,,,,,,,,,
,,,NMAM Institute of Technology ,C345,,,,,,29,Karnataka,569,,,,,,,,,,,
,,,NMIT Bangalore ,C390,,,,,,29,Karnataka,572,Bangalore,,,,nmit.ac.in,,,,,,
182,NOVA,,Nova Group of Colleges,C182,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
15,NRIA,,"NRI Institute of Technology, Vijayawada",C015,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
74,NRIT,,"NRI Institute of Technology, Perecharla",C074,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
218,NSRT,,NS Raju Institute of Technology,C218,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,544,Visakhapatnam,,,,,,,,,,
,,,NVR College of Engineering & Technology,C425,,Affiliated,,,,28,Andhra Pradesh,548,Guntur,,,,http://www.nannapaneni.org/,,,,,,
,,,Om Sterling Global University,C476,,Private University,,,,6,Haryana,80,Hisar,,,,https://www.osgu.ac.in/,,,,,,
,,,"P.E.S Modern College of Engineering, Pune.",C301,,,,,,27,Maharashtra,521,,,,,,,,,,,
242,PVKK,,P.V.K.K. Institute of Technology,C242,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,553,Anantapur,,,,,,,,,,
55,PACE,,PACE Institute of Technology & Sciences,C055,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,549,Prakasam,,,,,,,,,,
,,,Pallavi Engineering College,C470,,Autonomous,,,,36,Telengana,536,Ranga Reddy,,,,https://pallaviengineeringcollege.ac.in/,,,,,,
,,,Panimalar Institute of Technology,C436,,Affiliated,,,,33,Tamil Nadu,603,Chennai,,,,https://www.pit.ac.in/,,,,,,
,,,Parul University ,C358,,,,,,24,Gujarat,486,,,,,,,,,,,
70,PBSC,,PB Siddhartha College,C070,,,DEGREE_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
,,,PBR Visvodaya Institute of Technology & Science,C460,,,,,,28,Andhra Pradesh,550,Nellore,,,,vitsnp.edu.in,,,,,,
,,,"Pillai College of Engineering, New Panvel (Autonomous)",C405,,Autonomous,,,,27,Maharashtra,519,Mumbai,,,,https://www.pce.ac.in/,,,,,,
,,,Polaris School of Technology(Starex University),C388,,,,,,,Unknown,0,,,,,,,,,,,
89,PSCV,,PSCMR College of Engineering and Technology,C089,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
35,PRAG,,Pragati Engineering College,C035,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,,,,,,,
36,PKSK,,Prakasam Engineering College,C036,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,549,Prakasam,,,,,,,,,,
2,PPSV,,Prasad V Potluri Siddhartha Institute of Technology,C002,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
220,PCET,,Prasiddha College of Engineering and Technology,C220,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,,,,,,,
,,,Prathyusha Engineering College,C414,,Affiliated,,,,33,Tamil Nadu,0,,,,,,,,,,,
,,,Presidency University,C418,,University,,,,19,West Bengal,342,Kolkata,,,,https://www.presiuniv.ac.in/web/,,,,,,
183,PETW,,Princeton Institute of Engineering & Technology For Women,C183,,,ENGINEERING_COLLEGE,,,36,Telengana,537917,,,,,,,,,,,
,,,PRIST Deemed to be University,C408,,University,,,,33,Tamil Nadu,620,Vallam,,,,https://www.prist.ac.in/,,,,,,
184,PIST,,Priyadarashini Institute of Science & Technology,C184,,,ENGINEERING_COLLEGE,,,36,Telengana,536,,,,,,,,,,,
,,,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY ,C302,,,,,,33,Tamil Nadu,603,,,,,,,,,,,
154,PYDE,,Pydah College of Engineering,C154,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,,,,,,,
219,PYDA,,Pydah College of Engineering and Technology,C219,,,ENGINEERING_COLLEGE,,,,Unknown,0,,,,,,,,,T,,
61,QISE,,QIS College of Engineering & Technology,C061,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,549,Prakasam,,,,,,,,,,
69,QITO,,QIS Institute of Technology,C069,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,549,Prakasam,,,,,,,,,,
,,,R.M.K. Engineering College,C346,,,,,,33,Tamil Nadu,602,,,,,,,,,,,
230,RVJC,,R.V.R.& J.C.College of Engineering(Autonomous),C230,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
,,,Raajdhani Engineering college ,C303,,,,,,21,Odisha,386,,,,,,,,,,,
185,RAGU,,Raghu Engineering College,C185,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,544,Visakhapatnam,,,,,,,,,,
85,RITV,,Raghu Institute of Technology,C085,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,544,Visakhapatnam,,,,,,,,,,
201,RIET,,Rajamahendri Institute of Engineering and Technology,C201,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,,,,,,,
,,,Rajarambapu Institute of Technology,C486,,Autonomous,,,,19,West Bengal,330,Uttar Dinajpur,,,,https://ritindia.edu/ritwebsite/website/index.php,,,,,,
64,RGIT,,Rajeev Gandhi Memorial College of Engineering & Technology,C064,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,552,Kurnool,,,,,,,,,,
,,,Rajiv Gandhi Institute of Petroleum Technology,C327,,,,,,9,Uttar Pradesh,191,,,,,,,,,,,
,,,"Rajiv Gandhi University of Knowledge Technologies, Nuzvid",C328,,,,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
,,,Rajkiya Engineering College,C502,,,,,,9,Uttar Pradesh,178,Ambedkar Nagar,,,,https://www.recabn.ac.in/,,,,,,
224,RCEE,,Ramachandra College of Engineering,C224,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,546,West Godavari,,,,,,,,,,
,,,Ramaiah Institute of Technology ,C329,,,,,,29,Karnataka,572,,,,,,,,,,,
,,,Ramco Institute of Technology,C307,,,,,,33,Tamil Nadu,625,,,,,,,,,,,
,,,Ramdeobaba University (RBU),C450,,Private University,,,,27,Maharashtra,505,Nagpur,,,,rknec.edu,,,,,,
45,RCEW,,Ravindra College of Engineering for Women,C045,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,552,Kurnool,,,,,,,,,,
,,,REVA University,C396,,,,,,29,Karnataka,572,Bangalore,,,,reva.edu.in,,,,,,
,,,RGUKT Srikakulam,C461,,,,,,28,Andhra Pradesh,542,Srikakulam,,,,rguktsklm.ac.in,,,,,,
,,,Rise Krishna Sai Prakasam Group Of Institutions,C365,,,,,,28,Andhra Pradesh,549,Prakasam,,,,,,,,,,
248,RITW,,Rishi Ms Institute of Engineering & Technology For Women,C248,,,ENGINEERING_COLLEGE,,,36,Telengana,0,,med_mal,,,,,,,,,
,,,Roorkee Institute of Technology,C416,,Affiliated,,,,5,Uttarakhand,60,Dehradun,,,,,,,,,,
279,RRST,,RRS College of Engineering & Technology,C279,,,ENGINEERING_COLLEGE,,,36,Telengana,535903,Sangareddy,,,,,,,,,,
,,,Rural Engineering College Hulkoti,C479,,Affiliated,,,,29,Karnataka,561,Gadag,,,,https://www.rechulkoti.edu.in/,,,,,,
,,,RVS College of engineering,C330,,,,,,33,Tamil Nadu,632,,technology added,,,,,,,,,
189,SRHP,,S R University (Previously S R Engineering College),C189,,,ENGINEERING_COLLEGE,,,36,Telengana,535,,,,,,,,,,,
198,SVEC,,S V Engineering College for Women,C198,,,ENGINEERING_COLLEGE,,,36,Telengana,537,,,,,,,,,,,
,,,Sai Rajeswari Institute Of Technology,C376,,,,,,28,Andhra Pradesh,551,Kadapa,,,,,,,,,,
274,SAIS,,Sai Spurthi Institute of Technology,C274,,,ENGINEERING_COLLEGE,,,36,Telengana,541,Khammam,,,,,,,,,,
253,TRML,,Sai Tirumala NVR Engineering College ,C253,,,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,,,,,,,
,,,Samhitha degree college,C437,,,,,,28,Andhra Pradesh,545,East Godavari,,,,https://www.samhithaedu.com/,,,,,,
249,SMSK,,Samskruti College of Engineering & Technology,C249,,,ENGINEERING_COLLEGE,,,36,Telengana,537,,,,,,,,,,,
